animal,path,depth,amplitude,stability,stop_reason,min_bin_count
Tortoise,candidate_brier,1,0.7615858162877376,,,64
Tortoise,candidate_brier -> control_brier,2,0.006939078547839733,0.7344085976146193,max_depth,64
Tortoise,control_brier,1,0.7151986650709219,,,64
Tortoise,control_brier -> candidate_brier,2,0.004114865952647956,0.6914615367258683,max_depth,64
Owl,focal_even,1,0.290625,,,64
Owl,focal_even -> focal_odd,2,0.004687499999999983,0.8652946613118593,max_depth,64
Owl,focal_even -> reference_shift,2,0.014843750000000003,0.954570976271288,max_depth,64
Owl,focal_odd,1,0.29140625000000003,,,64
Owl,focal_odd -> focal_even,2,0.003906249999999986,0.5564140909703875,max_depth,64
Owl,focal_odd -> reference_shift,2,0.009375000000000008,0.8731843695222836,max_depth,64
Owl,reference_shift,1,0.2234375,,,64
Owl,reference_shift -> focal_even,2,0.004687499999999983,0.19515062032203845,bootstrap_instability,64
Owl,reference_shift -> focal_odd,2,0.008593750000000011,0.8621962780904229,max_depth,64
Octopus,focal_even,1,0.27656250000000004,,,64
Octopus,focal_even -> focal_odd,2,0.0023437499999999917,0.07748581830789618,bootstrap_instability,64
Octopus,focal_even -> reference_shift,2,0.004687499999999983,0.6199101763534659,max_depth,64
Octopus,focal_odd,1,0.28437499999999993,,,64
Octopus,focal_odd -> focal_even,2,0.007031250000000017,0.6876832124679388,max_depth,64
Octopus,focal_odd -> reference_shift,2,0.014062499999999978,0.9468387350032466,max_depth,64
Octopus,reference_shift,1,0.228125,,,64
Octopus,reference_shift -> focal_even,2,0.006249999999999992,0.6726673673060621,max_depth,64
Octopus,reference_shift -> focal_odd,2,0.009374999999999994,0.8445719919405739,max_depth,64
Gecko,focal_even,1,0.28671875,,,64
Gecko,focal_even -> focal_odd,2,0.008593749999999997,0.7933468957080898,max_depth,64
Gecko,focal_even -> reference_shift,2,0.014062500000000006,0.9394461707250389,max_depth,64
Gecko,focal_odd,1,0.31484375000000003,,,64
Gecko,focal_odd -> focal_even,2,0.017187499999999994,0.9600403650032527,max_depth,64
Gecko,focal_odd -> reference_shift,2,0.013281250000000008,0.9362971077639335,max_depth,64
Gecko,reference_shift,1,0.24375,,,64
Gecko,reference_shift -> focal_even,2,0.013281249999999994,0.9599607236509486,max_depth,64
Gecko,reference_shift -> focal_odd,2,0.007031250000000003,0.7567780562829323,max_depth,64
Hive,focal_even,1,0.296875,,,64
Hive,focal_even -> focal_odd,2,0.008680555555555539,0.8704737166506393,max_depth,64
Hive,focal_even -> reference_shift,2,0.01822916666666667,0.9527200808774117,max_depth,64
Hive,focal_odd,1,0.26249999999999996,,,64
Hive,focal_odd -> focal_even,2,0.006249999999999992,0.890288448595465,max_depth,64
Hive,focal_odd -> reference_shift,2,0.012499999999999983,0.9244493651341059,max_depth,64
Hive,reference_shift,1,0.2375,,,64
Hive,reference_shift -> focal_even,2,0.0078125,0.8107451877188594,max_depth,64
Hive,reference_shift -> focal_odd,2,0.014062499999999992,0.9212594099968527,max_depth,64
Eagle,focal_even,1,0.28828125000000004,,,64
Eagle,focal_even -> focal_odd,2,0.01171875,0.9267048701124121,max_depth,64
Eagle,focal_even -> reference_shift,2,0.010937500000000003,0.9602294432204288,max_depth,64
Eagle,focal_odd,1,0.30390625000000004,,,64
Eagle,focal_odd -> focal_even,2,0.014062500000000033,0.8994926410349511,max_depth,64
Eagle,focal_odd -> reference_shift,2,0.007031250000000003,0.8805082115839765,max_depth,64
Eagle,reference_shift,1,0.24062499999999998,,,64
Eagle,reference_shift -> focal_even,2,0.008593749999999983,0.7074725106226898,max_depth,64
Eagle,reference_shift -> focal_odd,2,0.009375000000000008,0.8554206354879406,max_depth,64
Crab,focal_even,1,0.2718750000000001,,,64
Crab,focal_even -> focal_odd,2,0.012499999999999983,0.9001402725703636,max_depth,64
Crab,focal_even -> reference_shift,2,0.014843750000000003,0.8666913361382689,max_depth,64
Crab,focal_odd,1,0.284375,,,64
Crab,focal_odd -> focal_even,2,0.0054687499999999944,0.8331022964368551,max_depth,64
Crab,focal_odd -> reference_shift,2,0.014843749999999975,0.929802912040695,max_depth,64
Crab,reference_shift,1,0.21328124999999998,,,64
